Sr_No,Location_Coordinates,Location,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID,latitude,longitude
1,"11.6357989, 92.7120575",Near Dollygunj Junction,Chakraborty Multi Speciality Hospital,0,Hospital,Allopathic,Near Dollygunj Junction,Andaman and Nicobar Islands,South Andaman,0,744101,03192 251971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,35,640,11.6357989,92.7120575
2,"11.8311681, 92.6586401",Medical Board Office,Inhs Dhanvantri,0,0,Allopathic,Medical Board Office,Andaman and Nicobar Islands,South Andaman,0,744101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,35,640,11.8311681,92.6586401
3,"11.8311681, 92.6586401",Near Masjid,Maricar Hospital,0,Hospital,Allopathic,Near Masjid,Andaman and Nicobar Islands,South Andaman,0,744103,03192 233434,9933280204,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,35,640,11.8311681,92.6586401
4,"11.6498468, 92.7294624","Lamba Line, P.B. No. 526",Pillar Health Centre,0,0,Allopathic,"Lamba Line, P.B. No. 526",Andaman and Nicobar Islands,South Andaman,0,744103,03192 233193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,35,640,11.6498468,92.7294624
5,"11.6233774, 92.7264828","GB Pant Road, City Centre, Port Blair","G B Pant Hospital, Port Blair",Public/ Government,Hospital,Allopathic,"GB Pant Road, City Centre, Port Blair",Andaman and Nicobar Islands,South Andaman,0,744103,"03192 233665, 03192 246058, 03192 233455, 03192 230858",,,0,0,0,0,0,,,0,http://www.and.nic.in/C_charter/health/dhs/index.html#gph,"Surgery, Medicine, Gynaecology, Pediatrics, ENT, Pathology and Ophthalmology",,,,0.0,,,,,,,,,,,,0,,,,,,35,640,11.6233774,92.7264828
6,"17.4274003, 78.4311174","Road No.1, Banjara Hills","Care Hospital, Banjara",Private,Hospital,Allopathic,"Road No.1, Banjara Hills",Andhra Pradesh,Hyderabad,0,500034,"040 30418888, 040 66668888, 040 23234444",,040 30418888,0,0,0,18001086666,0,0,info@carehospitals.com,0,www.carehospitals.com,"Anaesthesiology, Bio-Chemistry, Cardiac Yoga,\nCardiology\nCardiothoracic Surgery, Chest Physician, Critical Care, Dentistry and Maxillofacial Surgery, Dermatology, Diabetology, Dietetics, Emergency Medicine,\n Endocrinology, Endoscopy, Gastroenterology,\n Gastrointestinal Medicine,\n General Medicine,\n General Surgery,\n Geriatrics, Gynaecology,\n haematology, Hepatology,\n Internal Medicine,\n Interventional Radiology,\n Laboratory Medicine,\n Laparoscopic Surgery,\n Medical Oncology,\n Micro-Biology, Nephrology,\n Neuro Surgery, Neurology,\n Nuclear Medicine,\n Obstetrics and Gynaecology,\n Ophthalmology,\n Orthopedics and Traumatology,\nOtorhinolaryngology\n Pathology, Pediatric, Cardiology,\n Pediatric Surgery, Pediatric,\n Pediatric and Neonatology,\n Physiotherapy, Plastic Surgery and Cosmetic Surgery, Preventive, Medicine / Wellness, Psychiatry,\n Pulmonology, Radio-Diagnosis,\n Radiology, Respiratory, Medicine, Rheumatology, Sports Medicine\n Surgical Gastroenterology\n Surgical Oncology, Urology\n Vascular Surgery","Ambulance, Blood Bank,\nCasualty, Diagnostic, Services,\nDialysis Unit, Electrotherapy,\nEmergency Room, Exercise therapy,\nHome Health, Care Services\nLifestyle Clinic - A Preventive Medicine Centre, Pharmacy",,,,,,,,,,,,,,,0,,,,,,28,0,17.4274003,78.4311174
7,"14.6795736, 77.592469","7/201, Court Road Anantapur 515001  Anantapur",Aasha Hospitals,0,0,0,"7/201, Court Road",Andhra Pradesh,Anantapur,0,515001,08554    274194,9440285832,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6795736,77.592469
9,"14.6818877, 77.6005911","Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur",Baby Hospital,0,0,0,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6818877,77.6005911
10,"14.6723351, 77.6018211","12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur",Dr Akbar Eye Hospital And Laser Centre,0,0,0,"12-3-234, 6Th Cross Sai Nagar",Andhra Pradesh,Anantapur,0,515001,08554    235009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6723351,77.6018211
12,"14.6749908, 77.6032432","Sai Nagar Iind Cross,Anantapur",Hrudaya Children Hospital,0,0,0,Sai Nagar Iind Cross,Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6749908,77.6032432
13,"17.4738037, 78.5641765","15-381, Kamala Nagar,.","Jeevana Jyothi Hospitals Ltd.,",0,0,0,"#15-381, Kamala Nagar",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,17.4738037,78.5641765
15,"14.6818877, 77.6005911",Railway Station Road,Meda Nursing Home,0,0,0,Railway Station Road,Andhra Pradesh,Anantapur,0,515001,08554    277562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6818877,77.6005911
16,"14.6723351, 77.6018211","12/3-269, Sai Nagar, 6Th Cross, Anantapur",Mnr Nursing Home,0,0,0,"12/3-269, Sai Nagar, 6Th Cross",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6723351,77.6018211
17,"14.6867872, 77.5832307",D No: 15/721 Kamala Nagar Anantapur 515001  Anantapur,Mythri Hospitals,0,0,0,D No: 15/721 Kamala Nagar,Andhra Pradesh,Anantapur,0,515001,"08554    274630, 245014, 9441074096",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6867872,77.5832307
18,"15.3474564, 75.1253824","Aravinda Nagar, 2 Nd Cross",Padmavathi Hospital,0,0,0,"Aravinda Nagar, 2 Nd Cross",Andhra Pradesh,Anantapur,0,515001,08554  249966,0,0,0,0,0,0,0,08554 249966,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,15.3474564,75.1253824
19,"14.6742267, 77.6025251","12-2-979,3Rd Cross, Sai Nagar, Anantapur",Pavani Multi Speciality Hospital,0,0,0,"12-2-979,3Rd Cross, Sai Nagar",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6742267,77.6025251
20,"14.6818877, 77.6005911","346, Court Road,.",Prasanthi Nursing Home,0,0,0,"#346, Court Road",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6818877,77.6005911
21,"14.6723351, 77.6018211","12/2/991, Sai Nagar,Main Road, Anantpur",Priya Multispeciality Hospital,0,0,0,"#12/2/991, Sai Nagar,Main Road",Andhra Pradesh,Anantapur,0,515001,231908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6723351,77.6018211
22,"14.6805847, 77.6000775","15-16, Kamala Nagar, Anantapur",Ravitej Nursing Home,0,0,0,"15-16, Kamala Nagar",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6805847,77.6000775
23,"13.9860276, 77.7658783","Near R.T.C, Bus Stand, Anantapur",Santhi Nursing Home,0,0,0,"Near R.T.C, Bus Stand",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,13.9860276,77.7658783
25,"14.6818877, 77.6005911","Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross, Anantapur",Sri Sai Balaji Hospital,0,0,0,"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6818877,77.6005911
26,"13.6340453, 79.4157431","10/368, Sarojini Road, Anantapur",Sri Sai Kurpa Nursing Home,0,0,0,"10/368, Sarojini Road",Andhra Pradesh,Anantapur,0,515001,08554    274564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,13.6340453,79.4157431
27,"14.6818877, 77.6005911",Anantapur,Sri Sai Venkateshwara Surgical Clinic,0,0,0,Anantapur,Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6818877,77.6005911
28,"14.9093514, 78.0060388","Hospital Road,Anantapur-515001",Sudhir Surgical Clinic,0,0,0,Hospital Road,Andhra Pradesh,Anantapur,0,515001,220092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.9093514,78.0060388
29,"14.6755437, 77.6036802","12-2-870,1St Cross,Sai Nagar,Anantapur",Suma Eye Clinic,0,0,0,"12-2-870,1St Cross,Sai Nagar",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6755437,77.6036802
30,"14.6755437, 77.6036802","12/350-A,1St Cross,Sai Nagar,Anantapur",Swetha Ent Hospital,0,0,0,"#12/350-A,1St Cross ,Sai Nagar",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6755437,77.6036802
32,"19.0627033, 72.9297396","D. No.14/224, Kamala Nagar",Varun Children's Hospital,0,0,0,"D. No.14/224, Kamala Nagar",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,19.0627033,72.9297396
33,"14.6818877, 77.6005911","7/201, Court Road",Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),0,0,0,"7/201, Court Road",Andhra Pradesh,Anantapur,0,515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6818877,77.6005911
34,"14.6607456, 77.6085681","Navodaya Colony, Anantpur",Vijaya Nursing Home,0,0,0,Navodaya Colony,Andhra Pradesh,Anantapur,0,515001,220912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6607456,77.6085681
36,"13.0433764, 80.1622367","12-2-865, 1St Cross, Sai Nagar",Mamatha Nursing Home,0,0,0,"12-2-865, 1St Cross, Sai Nagar",Andhra Pradesh,Anantapur,0,515004,08554  275152,9440014646,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,13.0433764,80.1622367
37,"14.6735546, 77.6081894","28-639-1, Behind Sangamesh Funtion Hall, Anantapur",Anantapuram Praja Vaidyasala,0,0,0,"28-639-1, Behind Sangamesh Funtion Hall",Andhra Pradesh,Anantapur,0,515005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6735546,77.6081894
38,"14.6818877, 77.6005911","M.F. Road,.",Balaji Nursing Home,0,0,0,M.F. Road,Andhra Pradesh,Anantapur,0,515201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6818877,77.6005911
39,"14.6818877, 77.6005911","Opposite R.T.C Bus Stand, Hindupur (Po) Anantapur",Dr B V Syamala Ratnam Hospiatal,0,0,0,"Opposite R.T.C Bus Stand, Hindupur (Po)",Andhra Pradesh,Anantapur,0,515201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.6818877,77.6005911
40,"14.178135, 77.2728241","18-1-167, M F Road, Hindupur",Girish Multispeciality Hospital,0,0,0,"#18-1-167, M F Road, Hindupur",Andhra Pradesh,Anantapur,0,515201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.178135,77.2728241
41,"13.8358978, 77.5046101","R.P.G.T Road, Near Sreenivasa Theatre, Hindupur, Anantpur, (A.P)-515201",Shilpa Hospital,0,0,0,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur",Andhra Pradesh,Anantapur,0,515201,08556 220728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,13.8358978,77.5046101
42,"13.8185378, 77.4988753",Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Sreenivasa Nursing Home,0,0,0,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Andhra Pradesh,Anantapur,0,515201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,13.8185378,77.4988753
43,"13.8371751, 77.4878898",R.P and G.T Road Hindupur--515201,Teja Nursing Home,0,0,0,R.P and G.T Road Hindupur,Andhra Pradesh,Anantapur,0,515201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,13.8371751,77.4878898
44,"14.910003, 78.0005407","1/531A-3, East Palem, C B Road, Tadaptri",Sharada Nursing Home and Falvia P Reddy Diagnostic,0,0,0,"1/531A-3, East Palem, C B Road, Tadaptri",Andhra Pradesh,Anantapur,0,515411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.910003,78.0005407
45,"14.9070274, 78.0092703","C.B Road, Tadpatri",Sri Kanchani Hospital,0,0,0,"C.B Road, Tadpatri",Andhra Pradesh,Anantapur,0,515411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.9070274,78.0092703
48,"14.4137447, 77.7126189","Beside Sudharsan Theatre, R.S.Road, Dharmavaram, Anantapur ()",Devi Nursing Home,0,0,0,"Beside Sudharsan Theatre, R.S.Road, Dharmavaram",Andhra Pradesh,Anantapur,0,515671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.4137447,77.7126189
49,"14.4068919, 77.7125679","Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Spandana Hospital,0,0,0,"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Andhra Pradesh,Anantapur,0,515671,08559  225919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,14.4068919,77.7125679
50,"15.1622611, 77.3826845","Thilak Nagar, Guntakal",Preethi Nursing Home,0,0,0,"Thilak Nagar, Guntakal",Andhra Pradesh,Anantapur,0,515801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,553,15.1622611,77.3826845
53,"13.217176, 79.1003289","No.17-433, Lakshmi Complex, Sundarayyar Street,Chittoor,",Dr. Ramalakshmi Nursing Home,0,0,0,"No.17-433, Lakshmi Complex, Sundarayyar Street",Andhra Pradesh,Chittoor,0,517001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.217176,79.1003289
54,"13.217176, 79.1003289","No. 20-142/1, Near Raghava Theatre, Naidu Building, Chittoor",Dr. V. K. R. Nursing Home and Scan Centre,0,0,0,"No. 20-142/1, Near Raghava Theatre, Naidu Building",Andhra Pradesh,Chittoor,0,517001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.217176,79.1003289
55,"28.6481837, 77.3709431","D.No:17-284,T.V.Naidu St,.",Lakshmi Hospital,0,0,0,"D.No:17-284,,T.V.Naidu St",Andhra Pradesh,Chittoor,0,517001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,28.6481837,77.3709431
58,"13.217176, 79.1003289","2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office Chittoor 517001  Chittoor",Sreelatha Modern Eye Hospital And Research Centre,0,0,0,"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office",Andhra Pradesh,Chittoor,0,517001,"08577    222121, 226660,",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.217176,79.1003289
59,"13.65, 78.933333","2-1090, Padmavathi Nagar, Piler, Chittoor",Sujatha Nursing Home,0,0,0,"#2-1090, Padmavathi Nagar, Piler",Andhra Pradesh,Chittoor,0,517001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.65,78.933333
61,"13.36592, 78.5750141",Opp:Tn Petrol Bunk Punganur Punganur 517247  Chittoor,Balaji Hospital,0,0,0,Opp:Tn Petrol Bunk Punganur Punganur,Andhra Pradesh,Chittoor,0,517247,08581    252867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.36592,78.5750141
62,"13.36592, 78.5750141",Gokul Theater Road Punganur Punganur 517247  Chittoor,Vijaya Nursing Home,0,0,0,Gokul Theater Road Punganur Punganur,Andhra Pradesh,Chittoor,0,517247,08581    253129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.36592,78.5750141
63,"13.5508703, 78.50597","Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle- Chittoor ()",Balaji Multi Speciality Hospital,0,0,0,"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle",Andhra Pradesh,Chittoor,0,517325,08571  227799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.5508703,78.50597
64,"13.5603491, 78.5036065",Near Rtc Bus Stand Chittoor Madanapalli 517325  Chittoor,Bhavya Child Care Center,0,0,0,Near Rtc Bus Stand Chittoor Madanapalli,Andhra Pradesh,Chittoor,0,517325,08571    221444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.5603491,78.5036065
65,"13.5508703, 78.50597",R T C Bus Stand Madanpalle -,Bhavyas Children Hospital,0,0,0,R T C Bus Stand Madanpalle,Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.5508703,78.50597
66,"13.5603491, 78.5036065",14/2A Ctm Road Beside Icici Bank Madanapalli 517325  Chittoor,Chandra Mohan's Nursing Home,0,0,0,14/2A Ctm Road Beside Icici Bank Madanapalli,Andhra Pradesh,Chittoor,0,517325,08571    222167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.5603491,78.5036065
67,"13.5603491, 78.5036065","Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle - 517325",Desai Hospital,0,0,0,"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.5603491,78.5036065
68,"14.4656511, 78.8330438","No. 3-153-4-3-1, Near Rtc Bus Stand,",Desai Hospital-Madanapalli,0,0,0,"No. 3-153-4-3-1, Near Rtc Bus Stand",Andhra Pradesh,Chittoor,0,517325,"08571    223144, 223257",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,14.4656511,78.8330438
69,"18.4328566, 79.1303578","Near R.T.C.Busstand,C.T.M.Road.",Emergency Hospital,0,0,0,"Near R.T.C.Busstand,C.T.M.Road",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,18.4328566,79.1303578
70,"13.217176, 79.1003289",",C.T.M.Road.",Gupta Nursing Home,0,0,0,C.T.M.Road,Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.217176,79.1003289
71,"13.5529488, 78.5086376","15-37, Burma St,,C.T.M. Road .",Kathasagaram Hospitals,0,0,0,"# 15-37, Burma St, C.T.M. Road",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.5529488,78.5086376
72,"13.217176, 79.1003289",",C.T.M.Road.",Leo Hospital,0,0,0,",,C.T.M.Road",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.217176,79.1003289
73,"13.5657237, 78.5066868","C.T.M Road(Opp State Bank Of India) Madanapalle, Chittoor",M.V.L Hospital,0,0,0,C.T.M Road(Opp State Bank Of India) Madanapalle,Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,28,554,13.5657237,78.5066868
